paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,likert_scale,rating_scale,file,standard_total_17
10,11,11,Effects of different types of virtual reality display on presence and learning in a safety training scenario,Virtual reality; displays; fidelity; training; user study; aviation; safety,96,55,41,18,36,23.81,3.58,3D Graphics - Monoscopic;3D Graphics - HMD VR,Stereo sound,Education and training,Training,Not Mentioned,Not Sure,,,1,Study 1,,96,18/19/18,14/13/14,,,24.53/23.84/23.06,3.82/4.07/2.65,between-subject,each component,/Mean/SD/,Other,After,No,ANCOVA,Bonferroni test,,1,6,Whole Experiment,Whole Study,No,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,F Buttussi; L Chittaro,2017,IEEE transactions on visualization and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7817889/,https://scholar.google.com/scholar?cites=1482394720363540760&as_sdt=2005&sciodt=0;5&hl=en,244,43628,,,,,,,,,43,21.5,22,2,2,YES,Training,Report SE,2.8,0.2,TRUE,1.4166666,3.08,-1.7066666,0.023333333,0.28333333,0.77,-0.42666665,0.023333333,3D Graphics - HMD VR,7-point,Fair,Each Study,58.8
11,12,12,Effects of stereoscopic viewing on presence; anxiety; and cybersickness in a virtual reality environment for public speaking,Specific phobia; Exposure therapy; Spiders; Virtual reality; Serious games; Gamification,88,53,35,18,70,28,6.3,3D Graphics - HMD VR;Other,Stereo sound,Healthcare and clinical therapies,Exposure therapy,Not Mentioned,Not Sure,,,1,Study 1,17,86,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,TTest,,,1,6,Whole Experiment,Whole Study,No,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Y Ling; WP Brinkman; HT Nefs; C Qu�,2012,Presence: Teleoperators��,MIT Press,https://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00111,https://scholar.google.com/scholar?cites=12450000004622731836&as_sdt=2005&sciodt=0;5&hl=en,27,43628,,,,,,,,,43,6.14,9,5,7,YES,Exposure Therapy,,2.19,0.15642858,TRUE,2.0833333,1.3066666,-1.2,0.5566667,0.41666666,0.32666665,-0.3,0.5566667,3D Graphics - HMD VR,7-point,Fair,Each Study,58.19
12,13,13,Presence within a mixed reality environment,,21,17,4,16,50,,,Projection Display,Unknown,Social Science and psychology,Presence; Mixed reality,Not Mentioned,Not Sure,,,1,Study 1,,21,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Pearson correlations; Spearman correlations,Bonferroni,,1,-33,Whole Experiment,Whole Study,No,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,PV Schaik; T Turnbull; AV Wersch�,2004,CyberPsychology &��,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cpb.2004.7.540,https://scholar.google.com/scholar?cites=4422636204725188312&as_sdt=2005&sciodt=0;5&hl=en,67,43628,,,,,,,,,42,2.8,11,4,15,YES,Presence,,0.31,0.022142857,TRUE,3.75,0.40000004,-3.84,0.9499999,0.75,0.10000001,-0.96,0.9499999,Projection Display,7-point,Fair,Each Study,56.31
13,14,14,Initial and sustained brain responses to contextual conditioned anxiety in humans,Context conditioning; Initial and sustained anxiety; fMRI,30,17,13,19,34,23.17,3.67,3D Graphics - HMD VR,Unknown,Social Science and psychology,Context conditioning,Not Mentioned,Not Sure,,,1,Study 1,,30,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,Correlation tests,,,1,-33,General,Whole Experiment,No,30,,,,,5.37,,,,,,,,,,10.2,,,,,,32,M Andreatta; E Glotzbach-Schoon; A M�hlberger�,2015,Cortex,Elsevier,https://www.sciencedirect.com/science/article/pii/S0010945214003050,https://scholar.google.com/scholar?cites=5185450282876876923&as_sdt=2005&sciodt=0;5&hl=en,124,43628,HTML,,,,,,,,32,8,8,4,4,YES,,Report Mean/SD for Total score,5.37,0.38357142,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,61.37
14,15,15,Stress training and simulator complexity: why sometimes more is less,task analysis; simulator; stress; cognitive training; presence,34,33,1,30,59,43.5,8.66,Projection Display,,Education and training;Social Science and psychology,Task analysis,Not Mentioned,Not Sure,,,1,Study 1,45,34,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,,,,1,6,Whole Experiment,Whole Study,No,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,JG Tichon; GM Wallis,2010,Behaviour & Information Technology,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/01449290903420184,https://scholar.google.com/scholar?cites=14241305556039230361&as_sdt=2005&sciodt=0;5&hl=en,102,43628,,,,,,,,,29,3.22,15,2,9,YES,Task Analysis,,9.7,0.69285715,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Good,Each Study,65.7
15,16,16,Brain activity and prosocial behavior in a simulated life-threatening situation,prosocial behavior; virtual reality; gICA; salience network; mPFC,43,13,30,21,30,22.8,,,,Social Science and psychology,Prosocial behavior,Not Mentioned,Not Sure,,,1,Study 1,282.7 (42)/284.1 (93.1)/NA,43,5/07/2001,11/12/2007,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,MANOVA,,,1,-33,Whole Experiment,Whole Study,No,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,M Zanon; G Novembre; N Zangrando; L Chittaro�,2014,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811914003334,https://scholar.google.com/scholar?cites=10501098305181097252&as_sdt=2005&sciodt=0;5&hl=en,73,43628,,,,,,,,,28,5.6,6,5,5,YES,Prosocial Behavior,,2.55,0.18214285,TRUE,3.95,1.22,-2.62,0.585,0.79,0.305,-0.655,0.585,3D Graphics - HMD VR,7-point,Fair,Each Study,58.55
16,17,17,Can decision-making skills affect responses to psychological stress in healthy women?,Stress; Decision-making; Cortisol; TSST; Virtual reality,40,,,,,28,11.08,Other,Stereo sound,Social Science and psychology,Stress; Decision-making;,Not Mentioned,Not Sure,,90,1,Study 1,,38,,,,,29.52/25.36,12.03/7.75,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,1,-33,Whole Experiment,Whole Study,No,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,A Santos-Ruiz; MC Garcia-Rios�,2012,�,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306453012001345,https://scholar.google.com/scholar?cites=15404127022972111759&as_sdt=2005&sciodt=0;5&hl=en,25,43628,,,,,,,,,27,3.86,9,3,7,YES,Stress,,-0.915,-0.06535714,TRUE,0.58,1.735,-3.205,-0.025,0.116,0.43375,-0.80125,-0.025,3D Graphics - Monoscopic,7-point,Fair,Each Study,55.085
17,18,18,Enhancing the visually induced self-motion illusion (vection) under natural viewing conditions in virtual reality,Vection; psychophysics; spatial presence; virtual reality; illusions; motion simulation.,22,,,,,,,Projection Display,Stereo sound,Social Science and psychology,Vection,Not Mentioned,Not Sure,,,1,Study 1,,22,,,,,,,between-subject,each component,/Mean/SD/,Chart,After,No,Correlaration tests,,,1,17,Whole Experiment,Whole Study,No,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,BE Riecke; J Schulte-Pelkum�,2004,��Workshop Presence,academia.edu,http://www.academia.edu/download/2384840/982drjfkn4woz84.pdf,https://scholar.google.com/scholar?cites=9264505614785578962&as_sdt=2005&sciodt=0;5&hl=en,70,43628,PDF,,,,,,,,25,1.67,8,3,15,YES,Vection,,10.15,0.725,TRUE,1.875,4.46,1.92,1.16,0.375,1.115,0.48,1.16,Projection Display,7-point,Good,Each Study,66.15
18,19,19,I am the passenger: how visual motion cues can influence sickness for in-car VR,In-motion; In-car; Automobile; Autonomous Car; Passenger; Virtual Reality; Mixed Reality; Motion Sickness; HMD,18,18,,,,25.1,4.7,3D Graphics - HMD VR,Unknown,Social Science and psychology,Motion Sickness,Not Mentioned,Not Sure,,150,1,Study 1,10,18,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,ANOVA,Tukey tests,,1,6,Whole Experiment,Whole Study,No,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,M McGill; A Ng; S Brewster,2017,Proceedings of the 2017 chi conference on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=3026046,https://scholar.google.com/scholar?cites=13162819210412978012&as_sdt=2005&sciodt=0;5&hl=en,260,43628,,,,,,,,,21,10.5,7,3,2,YES,Motion Sickness,,6.3,0.44999996,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,62.3
19,20,20,Exploring a novel environment improves motivation and promotes recall of words,novelty; exploration; memory enhancement; episodic memory; dopaminergic mesolimbic system,28,6,22,17,25,,,3D Graphics - Monoscopic;3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Novelty,Not Mentioned,Not Sure,,,1,Study 1,5,28,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,ANOVA;TTest,,,1,-33,Whole Experiment,Whole Study,No,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,J Schomaker; MLV van Bronkhorst�,2014,Frontiers in��,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2014.00918,https://scholar.google.com/scholar?cites=2593880471108434762&as_sdt=2005&sciodt=0;5&hl=en,24,43628,HTML,,,,,,,,20,4,7,3,5,YES,,Unknown Scale,5.555,0.3967857,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,61.555
20,21,21,Sense of presence and anxiety during virtual social interactions between a human and virtual humans,Virtual reality therapy; Presence; Anxiety; Social phobia,38,6,32,,,22.3,5.7,3D Graphics - HMD VR;Projection Display,Unknown,Healthcare and clinical therapies;Social Science and psychology,Virtual reality therapy,Not Mentioned,Not Sure,,,1,Study 1,30,33,,,,,,,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest,,,1,17,Whole Experiment,Whole Study,No,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,N Morina; WP Brinkman; D Hartanto; PMG Emmelkamp,2014,PeerJ,peerj.com,https://peerj.com/articles/337/,https://scholar.google.com/scholar?cites=8533171674679781215&as_sdt=2005&sciodt=0;5&hl=en,10,43628,HTML,,,,,,,,19,3.8,5,4,5,YES,,Confused Scale,-9.25,-0.66071427,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Poor,Each Study,46.75
21,22,22,Trier Social Stress Test in vivo and in virtual reality: Dissociation of response domains,Virtual reality; Skin conductance level; Salivary cortisol; Heart rate; Social stress; Trier Social Stress Test (TSST),45,45,0,,,23.76,2.52,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Stress,Not Mentioned,Yes,,,1,Study 1,9,45,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,,,,1,-33,Whole Experiment,Whole Study,No,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Y Shiban; J Diemer; S Brandl; R Zack�,2016,International Journal of��,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167876016307231,https://scholar.google.com/scholar?cites=14327464664590115311&as_sdt=2005&sciodt=0;5&hl=en,60,43628,,,,,,,,,18,6,4,5,3,YES,Stress,,-2.6,-0.1857143,TRUE,1.2,-1.12,-2.68,0.105,0.24000001,-0.28,-0.67,0.105,3D Graphics - HMD VR,7-point,Fair,Each Study,53.4
22,23,23,Powered wheelchair simulator development: implementing combined navigation-reaching tasks with a 3D hand motion controller,Virtual reality; Powered wheelchair; Training; Reaching; Navigation; Rehabilitation,12,8,4,36,60,50.1,9.1,3D Graphics - Monoscopic;Other,Unknown,Interaction techniques;Social Science and psychology,Virtual reality,Not Mentioned,Not Sure,,,1,Study 1,15,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,TTest,,,1,6,Whole Experiment,Whole Study,No,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,G Tao; PS Archambault,2016,Journal of��,jneuroengrehab.biomedcentral.com,https://jneuroengrehab.biomedcentral.com/articles/10.1186/s12984-016-0112-2,https://scholar.google.com/scholar?cites=17314908123693819291&as_sdt=2005&sciodt=0;5&hl=en,203,43628,HTML,,,,,,,,17,5.67,9,2,3,YES,Interaction,,-1.38,-0.09857143,TRUE,-0.04,0.06,-1.4,0.09,-0.008,0.015,-0.35,0.09,3D Graphics - Monoscopic,7-point,Fair,Each Study,54.62
23,24,24,Control over the virtual environment influences the presence and efficacy of a virtual reality intervention on pain.,Virtual Reality; Presence; Interaction; Pain Tolerance,94,10,84,19,31,22.38,2.27,Projection Display,Surround sound,Healthcare and clinical therapies;Social Science and psychology,Virtual Reality; Pain,Not Mentioned,Not Sure,,,1,Study 1,,94,,,,,,,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest;Pearson,,,1,6,VR Condition,Whole Study,No,94,,,,,,,,,,2.9,,,,,1.2,,,,,,12,O Guti�rrez-Mart�nez; J Guti�rrez-Maldonado�,2011,,researchgate.net,https://www.researchgate.net/profile/Brenda_Wiederhold/publication/316495448_Annual_Review_of_CyberTherapy_and_Telemedicine_Evidence-Based_Clinical_Applications_of_Information_Technology/links/590a531aaca272f6580b6f6c/Annual-Review-of-CyberTherapy-and-Telemedicine-Evidence-Based-Clinical-Applications-of-Information-Technology.pdf#page=102,https://scholar.google.com/scholar?cites=18263504806253000658&as_sdt=2005&sciodt=0;5&hl=en,162,43628,PDF,,,,,,,,12,1.5,4,3,8,YES,Pain,,-1.3999999,-0.10000001,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Fair,Each Study,54.6000001
24,25,25,Virtual body swap: a new feasible tool to be explored in health and education,Body swap illusion; body agency; embodiment system; presence; virtual environment; virtual reality,13,8,5,,,,,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,Body swap illusion,Portuguese,Not Sure,,,1,Study 1,11,13,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Chart,After,No,ANOVA,,,1,-33,Whole Experiment,Whole Study,No,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,EC De Oliveira; P Bertrand; MER Lesur�,2016,��XVIII Symposium on��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7517257/,https://scholar.google.com/scholar?cites=12163065462367507778&as_sdt=2005&sciodt=0;5&hl=en,251,43628,,,,,,,,,11,3.67,3,4,3,YES,Illusion,,14.070001,1.005,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Good,Each Study,70.070001
25,26,26,Virtual bystanders in a language lesson: examining the effect of social evaluation; vicarious experience; cognitive consistency and praising on students,,26,17,,20,30,26.8,2.5,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,,Not Mentioned,Not Sure,,50,1,Study 1,,26,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest,,,1,6,Whole Experiment,Whole Study,No,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,C Qu; Y Ling; I Heynderickx; WP Brinkman,2015,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0125279,https://scholar.google.com/scholar?cites=15939859593870963091&as_sdt=2005&sciodt=0;5&hl=en,200,43628,HTML,,,,,,,,11,2.75,3,4,4,YES,,,4.35,0.31071427,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,60.35
