paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display
138,148,360,Cognitive factors can influence self-motion perception (vection) in virtual reality,"Ego–motion simulation, psychophysics, spatial orientation, spatial presence, vection, virtual reality",22,,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 1,,12,,5,17,34,23.8,5,within-subject,each component,/Mean//,Chart,After,No,"ANOVA, paired-samples correlations",post hoc analysis with Bonferroni-corrected p,,2,17,Visual,B,No,12,,,,,,3.31,3.22,2.5,2.83,3.01,,,,,,,,,,,83,BE Riecke; J Schulte-Pelkum; MN Avraamides�,2006,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1166091,https://scholar.google.com/scholar?cites=13511144545204386730&as_sdt=2005&sciodt=0;5&hl=en,79,43628,,,,,,,,,83,6.38,21,4,13,YES,Vection,,-13.86,-0.99,TRUE,-3.45,-3.12,-6,-1.17,-0.69,-0.78,-1.5,-1.17,Projection Display
81,82,202,Towards lean and elegant self-motion simulation in virtual reality,"Vection, self-motion illusion, spatial orientation, virtual reality, motion simulation, human factors, psychophysics, multi-modal cue integration, vibrations, auditory cues",53,,,,,,,Projection Display,Surround sound,Social Science and psychology,,Not Mentioned,Not Sure,,,3,Study 1,,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,"TTest,two-tailed t-test",,,2,17,scene,inconsistent,No,12,,,,,,3.35,3.52,2.81,3.17,3.24,1.44,1.31,1.18,1.75,1.13,,,,,,79,BE Riecke; J Schulte-Pelkum…,2005,… . VR 2005. Virtual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1492765/,https://scholar.google.com/scholar?cites=3287997044791535940&as_sdt=2005&sciodt=0;5&hl=en,48,43627,,,,,,,,,79,5.64,26,3,,YES,Vection,,-10.64,-0.76,TRUE,-3.25,-1.92,-4.76,-0.83,-0.65,-0.48,-1.19,-0.83,Projection Display
138,148,356,Cognitive factors can influence self-motion perception (vection) in virtual reality,"Ego–motion simulation, psychophysics, spatial orientation, spatial presence, vection, virtual reality",22,,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 1,,12,,5,17,34,23.8,5,within-subject,each component,/Mean//,Chart,After,No,"ANOVA, paired-samples correlations",post hoc analysis with Bonferroni-corrected p,,2,17,Visual,b,No,12,,,,,,3.35,3.52,2.81,3.17,3.24,,,,,,,,,,,83,BE Riecke; J Schulte-Pelkum; MN Avraamides�,2006,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1166091,https://scholar.google.com/scholar?cites=13511144545204386730&as_sdt=2005&sciodt=0;5&hl=en,79,43628,,,,,,,,,83,6.38,21,4,13,YES,Vection,,-10.64,-0.76,TRUE,-3.25,-1.92,-4.76,-0.83,-0.65,-0.48,-1.19,-0.83,Projection Display
36,37,93,Deficits in episodic memory and mental time travel in patients with post-traumatic stress disorder,"PTSD, Episodic memory, What-where-when task, Mental time travel, Virtual reality, Anxiety, Stressor-related disorders",42,8,34,,,,,3D Graphics - Monoscopic,Unknown,Healthcare and clinical therapies,Post-traumatic stress disorder,Not Mentioned,Not Sure,,,1,Study 1,13,42,4-Apr,17/17,18/18,55/53,34.6/34.2,11.9/11.8,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,2,6,Group,PTSD,No,21,12.1,10.6,7.5,2.4,,,,,,,7.5,6.4,4.7,2,,,,,,,0,A Zlomuzica; ML Woud; A Machulska; K Kleimt�,2018,cog.psy.ruhr-uni-bochum.de,,http://www.cog.psy.ruhr-uni-bochum.de/papers/2018/Zlomuzica_PTSDMentalTimeTravel_PNPBP(2018).pdf,,175,43628,PDF,,,,,,,,0,0,0,5,,YES,,,-9.4,-0.671428571,TRUE,-2.9,-1.4,-4.5,-0.6,-0.58,-0.35,-1.125,-0.6,3D Graphics - Monoscopic
36,37,94,Deficits in episodic memory and mental time travel in patients with post-traumatic stress disorder,"PTSD, Episodic memory, What-where-when task, Mental time travel, Virtual reality, Anxiety, Stressor-related disorders",42,8,34,,,,,3D Graphics - Monoscopic,Unknown,Healthcare and clinical therapies,Post-traumatic stress disorder,Not Mentioned,Not Sure,,,1,Study 1,13,42,4-Apr,17/17,18/18,55/53,34.6/34.2,11.9/11.8,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,2,6,Group,Control,No,21,12.6,9.4,5.5,2.2,,,,,,,5.8,6.4,3.6,1.7,,,,,,,0,A Zlomuzica; ML Woud; A Machulska; K Kleimt�,2018,cog.psy.ruhr-uni-bochum.de,,http://www.cog.psy.ruhr-uni-bochum.de/papers/2018/Zlomuzica_PTSDMentalTimeTravel_PNPBP(2018).pdf,,175,43628,PDF,,,,,,,,0,0,0,5,,YES,,,-12.3,-0.878571429,TRUE,-2.4,-2.6,-6.5,-0.8,-0.48,-0.65,-1.625,-0.8,3D Graphics - Monoscopic
49,50,126,Evaluation of FlowVR: a virtual reality game for improvement of depressive mood,"virtual reality, depression, mood, therapy, flow",18,9,9,18,55,25.9,10.5,"3D Graphics - Monoscopic,3D Graphics - HMD VR",No sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,5.83,18,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Shapiro-Wilk test; Wilcoxon-Mann-Whitney-Test; Friedman-Test,,,2,6,Condition,Tablet,No,18,,,,,,2.52,2.46,1.6,2.44,2.23,1.55,1.19,0.97,1.65,1.15,,,,,,1,L Bittner; F Mostajeran; F Steinicke; J Gallinat; S K�hn,2018,bioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/451245v1.abstract,https://scholar.google.com/scholar?cites=9197651944647077710&as_sdt=2005&sciodt=0;5&hl=en,85,43628,,,,,,,,,1,1,0,5,1,YES,Therapy,,-10.78,-0.77,TRUE,-2.4,-2.16,-5.6,-0.56,-0.48,-0.54,-1.4,-0.56,3D Graphics - Monoscopic
129,137,325,How to Observe Users' Movements in Virtual Environments: Viewpoint Control in a Power Wheelchair Simulator,"user observation, virtual reality, interaction techniques, immersion, driving simulator",15,4,11,23,55,34.9,9.4,3D Graphics - HMD VR,Unknown,"Education and training,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,40,1,Study 1,,15,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Tukey’s",,,2,-33,Viewpoint,Standard,No,15,-2.3,-0.3,-1.8,-1.8,,,,,,,0.72,1.04,1.12,1.14,,,,,,,0,A Alshaer; D O'Hare; P Archambault…,2019,Human …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0018720819853682,,409,43676,,,,,,,,,0,0,0,4,,YES,Simulator,Said 13 items but report 4 subscales,-6.2,-0.442857143,TRUE,-2.3,-0.3,-1.8,-1.8,-0.46,-0.075,-0.45,-1.8,3D Graphics - HMD VR
42,43,105,Delay compensation for a telepresence system with 3d 360 degree vision based on deep head motion prediction and dynamic fov adaptation,"3D vision, telepresence, virtual reality, remote reality, omnidirectional vision",13,9,4,,,25.38,5.18,3D Graphics - HMD VR,Unknown,"Interaction techniques,Social Science and psychology",Telepresence,Not Mentioned,Not Sure,,,1,Study 1,0.75,13,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,ANOVA,,,2,6,Scene,#w/o Comp.,No,13,12.93,12.41,8.6,2.34,,,,,,,2.01,2.34,2.34,2.54,,,,,,,3,T Aykut; M Karimi; C Burgmair�,2018,IEEE Robotics and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8429079/,https://scholar.google.com/scholar?cites=8422483897848827086&as_sdt=2005&sciodt=0;5&hl=en,309,43628,,,,,,,,,3,3,1,4,1,YES,Telepresence,,-5.72,-0.408571429,TRUE,-2.07,0.41,-3.4,-0.66,-0.414,0.1025,-0.85,-0.66,3D Graphics - HMD VR
128,136,323,The Influence of Autonomous Movement on Adverse Events in Relaxing Virtual Environments Using a Head-Mounted Display: An Exploratory Study,"Virtual Reality, adverse events, Cybersickness, Head-Mounted Display, HMD",30,,,18,63,39.5,11.7,3D Graphics - HMD VR,Unknown,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,30,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,TTest,,,2,17,Gender,Men,No,12,,,,,,3.6,3.2,2.7,3.5,,1.2,1.1,0.7,1.2,,,,,,,0,D Riedl; FL Loth; S Eppler; B Holzner…,2019,Journal of Virtual Reality …,jvrb.org,https://www.jvrb.org/past-issues/15.2018/4819,,395,43676,,,,,,,,,0,0,0,5,,YES,Autonomous movement,Unknown Scale,-10.4,-0.742857143,TRUE,-2,-3.2,-5.2,-0.5,-0.4,-0.8,-1.3,-0.5,3D Graphics - HMD VR
2,2,5,Temporal dynamics in the relation between presence and fear in virtual reality,"Virtual reality, Presence, Exposure therapy, Behavioral avoidance test, Anxiety disorders, Specific phobia",22,,22,19,38,25.18,5.58,Projection Display,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Exposure therapy,Not Mentioned,Not Sure,,,1,Study 1,41.77/2.24,22,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,"Strong correlations between presence and fear on the one-item presence measure assessed immediately after each exposure, but not on the IPQ administered at the end of the entire experiment.",1,6,VR,Stereoscopic,No,11,,,,,,2.62,2.73,2.11,3.18,,1.42,1.36,1.29,1.54,,,,,,,30,HM Peperkorn; J Diemer; A M�hlberger,2015,Computers in Human Behavior,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563215001260,https://scholar.google.com/scholar?cites=3537788879502462667&as_sdt=2005&sciodt=0;5&hl=en,7,43628,,,,,,,,,30,7.5,10,3,4,YES,Exposure Therapy,,-6.54,-0.467142857,TRUE,-1.9,-1.08,-3.56,0.18,-0.38,-0.27,-0.89,0.18,Projection Display
42,43,109,Delay compensation for a telepresence system with 3d 360 degree vision based on deep head motion prediction and dynamic fov adaptation,"3D vision, telepresence, virtual reality, remote reality, omnidirectional vision",13,9,4,,,25.38,5.18,3D Graphics - HMD VR,Unknown,"Interaction techniques,Social Science and psychology",Telepresence,Not Mentioned,Not Sure,,,1,Study 1,0.75,13,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,ANOVA,,,2,6,Scene,Comp.+circ. black,No,13,13.12,11.71,10.69,2.37,,,,,,,2.37,2.5,2.34,2.53,,,,,,,3,T Aykut; M Karimi; C Burgmair�,2018,IEEE Robotics and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8429079/,https://scholar.google.com/scholar?cites=8422483897848827086&as_sdt=2005&sciodt=0;5&hl=en,309,43628,,,,,,,,,3,3,1,4,1,YES,Telepresence,,-4.11,-0.293571429,TRUE,-1.88,-0.29,-1.31,-0.63,-0.376,-0.0725,-0.3275,-0.63,3D Graphics - HMD VR
59,60,151,Evaluating the Effects of Hand-gesture-based Interaction with Virtual Content in a 360 Movie,,32,,16,19,42,26.97,6.32,3D Graphics - HMD VR,Unknown,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,32,,,,,,,within-subject,each component,/Mean//,Other,After,No,ANOVA,,,4,17,Interaction,Without,No,32,,,,,,3.65,4,3.48,4.39,3.75,,,,,,,,,,,1,H Khan; G Lee; S Hoermann; R Clifford; M Billinghurst�,2017,,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/15215,https://scholar.google.com/scholar?cites=12814848117432532594&as_sdt=2005&sciodt=0;5&hl=en,229,43628,,,,,,,,,1,0.5,0,6,2,YES,Interaction,Unknown Scale,-3.5,-0.25,TRUE,-1.75,0,-2.08,0.39,-0.35,0,-0.52,0.39,3D Graphics - HMD VR
66,67,169,Visually Induced Motion Sickness in 360° Videos: Comparing and Combining Visual Optimization Techniques,"VR sickness, cybersickness, 360º video, cinematic VR, field of view, content analysis, optical flow",12,6,6,23,47,29.9,6.76,3D Graphics - HMD VR,Unknown,"Design and visualization,Social Science and psychology",Motion Sickness,Not Mentioned,Not Sure,,,1,Study 1,3.42,12,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Pearson’s product-moment correlation",,,2,6,Condition,C4,No,12,,,,,,2.65,3,2.46,2.75,,1.09,0.73,0.62,1.4,,,,,,,0,P Bala; D Dionísio; V Nisi…,2018,2018 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8699261/,,332,43676,,,,,,,,,0,0,0,4,,DUPLICATED,,,-3.91,-0.279285714,TRUE,-1.75,0,-2.16,-0.25,-0.35,0,-0.54,-0.25,3D Graphics - HMD VR
81,82,201,Towards lean and elegant self-motion simulation in virtual reality,"Vection, self-motion illusion, spatial orientation, virtual reality, motion simulation, human factors, psychophysics, multi-modal cue integration, vibrations, auditory cues",53,,,,,,,Projection Display,Surround sound,Social Science and psychology,,Not Mentioned,Not Sure,,,3,Study 1,,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,"TTest,two-tailed t-test",,,2,17,scene,consistent,No,12,,,,,,3.69,4.67,3.96,4.58,4.18,1.47,0.88,1.31,1.57,1.02,,,,,,79,BE Riecke; J Schulte-Pelkum…,2005,… . VR 2005. Virtual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1492765/,https://scholar.google.com/scholar?cites=3287997044791535940&as_sdt=2005&sciodt=0;5&hl=en,48,43627,,,,,,,,,79,5.64,26,3,,YES,Vection,,2.52,0.18,TRUE,-1.55,2.68,-0.16,0.58,-0.31,0.67,-0.04,0.58,Projection Display
138,148,355,Cognitive factors can influence self-motion perception (vection) in virtual reality,"Ego–motion simulation, psychophysics, spatial orientation, spatial presence, vection, virtual reality",22,,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 1,,12,,5,17,34,23.8,5,within-subject,each component,/Mean//,Chart,After,No,"ANOVA, paired-samples correlations",post hoc analysis with Bonferroni-corrected p,,2,17,Visual,a,No,12,,,,,,3.69,4.67,3.96,4.58,4.18,,,,,,,,,,,83,BE Riecke; J Schulte-Pelkum; MN Avraamides�,2006,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1166091,https://scholar.google.com/scholar?cites=13511144545204386730&as_sdt=2005&sciodt=0;5&hl=en,79,43628,,,,,,,,,83,6.38,21,4,13,YES,Vection,,2.52,0.18,TRUE,-1.55,2.68,-0.16,0.58,-0.31,0.67,-0.04,0.58,Projection Display
59,60,153,Evaluating the Effects of Hand-gesture-based Interaction with Virtual Content in a 360 Movie,,32,,16,19,42,26.97,6.32,3D Graphics - HMD VR,Unknown,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,32,,,,,,,within-subject,each component,/Mean//,Other,After,No,ANOVA,,,4,17,Hand appearance,Virtual CG,No,32,,,,,,3.7,4.08,3.47,4.64,3.81,,,,,,,,,,,1,H Khan; G Lee; S Hoermann; R Clifford; M Billinghurst�,2017,,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/15215,https://scholar.google.com/scholar?cites=12814848117432532594&as_sdt=2005&sciodt=0;5&hl=en,229,43628,,,,,,,,,1,0.5,0,6,2,YES,Interaction,Unknown Scale,-2.66,-0.19,TRUE,-1.5,0.32,-2.12,0.64,-0.3,0.08,-0.53,0.64,3D Graphics - HMD VR
