paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,condition_name,element_name,is_interaction,participant_per_element,original_rating_scale,original_total_sp,original_total_inv,original_total_real,original_total_gp,original_total_overall,original_mean_sp,original_mean_inv,original_mean_real,original_mean_gp,original_mean_overall,standard_rating_scale,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,is_scale_recover,scale_note,report_type,ranking_class,sp_ranking_class,inv_ranking_class,real_ranking_class,gp_ranking_class
15,16,,Impact of Synchronizing Visual Cues with Switch of Foot Contact State on the Presence of Virtual Flight while Seated,"[""flight experience"","" floating sensation"","" cross-modal effect"","" tactile sensation"","" virtualreality""]",18,11,6,,,26.8,4.7,"[""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Design and visualization"",""Interaction techniques""]","""1""","[""Not Mentioned""]","""Not Sure""","""Scale from 1 to 5""",,1,"""Study 1""",40-50,17,11,6,,,26.8,4.7,"""within-subject""","""each component""",Each Condition Interaction,"""Chart""","[""After"",""After""]",No,"[""ANOVA"",""Aligned Rank Transform (ART)""]","""""","""Our experiments provide important insights into the design of\rvisuo-haptic cross-modal stimuli for displaying flight experiences\rwith high presence.""",1,,,Yes,,15,17.25,13.68,11.48,3.3,45.64,3.45,3.42,2.87,3.3,3.26,-33,5.46,0.39,Yes,3.4,2.52,-0.8,0.45,0.68,0.63,-0.2,0.45,,0,"Y Ban, T Yoshida, Y Ujitoko",2023,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10115427/,,170,5/31/2023 16:53,,,,,,,,,0,0,0,3,1,,,,Yes,,,Class Moderate,Class Low,Class Moderate,Class Moderate,Class Low
16,17,,Using immersive virtual reality to remotely examine performance differences between dominant and non-dominant hands,"[""Meta Quest"","" Dominant hand"","" Non-dominant hand"","" Assessment"","" Stroke"","" Upper limb""]",,,6,18,54,35.6,10.8,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Interaction techniques""]","""1""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,37,,,,,,,"""within-subject""","""each component""",Whole Study,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,17,28.75,17.24,16.52,5.54,69.02,5.75,4.31,4.13,5.54,4.93,-33,13.02,0.93,Yes,8.75,1.24,0.52,1.54,1.75,0.31,0.13,1.54,,0,"JO Evans, K Tsaneva-Atanasova, G Buckingham",2023,Virtual Reality,Springer,https://link.springer.com/article/10.1007/s10055-023-00794-z,,122,5/31/2023 16:53,HTML,10.1007/s10055-023-00794-z,,,,,,,0,0,0,3,1,,,,,,,Class High,Class Very High,Class Moderate,Class High,Class High
17,18,,Utilising Event Cognition Principles to Explore the Effects of Location Change on Memory Within Immersive Virtual Environments,[],,,,,,,,"[""3D Graphics - HMD VR/MR""]",[],"[""Design and visualization"",""Healthcare and clinical therapies"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""There are two studies in their experiment 3. This is a thesis.""",,2,"""Study 1""",,15,3,,,,,,"""within-subject""","""each component""",Whole Study,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,17,24.4,19.2,15.88,5.13,65.66,4.88,4.8,3.97,5.13,4.69,-33,9.66,0.69,Yes,4.4,3.2,-0.12,1.13,0.88,0.8,-0.03,1.13,,0,P Watson,2023,,pearl.plymouth.ac.uk,http://pearl.plymouth.ac.uk/handle/10026.1/20610,,255,5/31/2023 16:53,,,,,,,,,0,0,0,1,1,,,,,,,Class Moderate,Class Moderate,Class High,Class High,Class Moderate
17,19,,Utilising Event Cognition Principles to Explore the Effects of Location Change on Memory Within Immersive Virtual Environments,[],,,,,,,,"[""3D Graphics - HMD VR/MR""]",[],"[""Design and visualization"",""Healthcare and clinical therapies"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""There are two studies in their experiment 3. This is a thesis.""",,2,"""Study 2""",,44,9,,,,,,"""within-subject""","""each component""",Whole Study,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,17,26.65,18.44,15.72,5.52,67.9,5.33,4.61,3.93,5.52,4.85,-33,11.9,0.85,Yes,6.65,2.44,-0.28,1.52,1.33,0.61,-0.07,1.52,,0,P Watson,2023,,pearl.plymouth.ac.uk,http://pearl.plymouth.ac.uk/handle/10026.1/20610,,255,5/31/2023 16:53,,,,,,,,,0,0,0,1,1,,,,,,,Class High,Class High,Class Moderate,Class Moderate,Class High
18,20,,VR Blowing: A Physically Plausible Interaction Method for Blowing Air in Virtual Reality.,"[""Human-computer interaction"","" blowing control"","" virtual reality"","" immersion""]",20,9,11,,,22.2,2.44,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""Three studies but only one used the IPQ""",,1,"""Study 1""",,20,9,11,,,22.2,2.44,"""within-subject""","""each component""",Each Condition,"""Chart""","[""After""]",No,"[""Wilcoxon signed-rank test""]","""""","""""",1,,,No,,17,21,15.72,13.32,5.15,58.1,4.2,3.93,3.33,5.15,4.15,-33,2.1,0.15,Yes,1,-0.28,-2.68,1.15,0.2,-0.07,-0.67,1.15,,0,"MY Seo, KE Kang, HY Kang",2023,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10023999/,,140,5/31/2023 16:53,,,,,,,,,0,0,0,3,1,,,,,,,Class Low,Class Low,Class Low,Class Low,Class Moderate
19,21,,"You Make Me Sick! The Effect of Stairs on Presence, Cybersickness, and Perception of Embodied Conversational Agents",[],39,14,25,,,23.95,10.10,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,39,14,25,,,23.95,10.10,"""within-subject""","""each component""",Each Condition,"""Other""","[""After""]",No,"[""Wilcoxon signed-rank test""]","""""","""""",1,,,No,,06,12.9,9.2,7.52,1.92,30.38,2.58,2.3,1.88,1.92,2.17,-33,-11.62,-0.83,Yes,-2.1,-2.8,-4.48,-1.08,-0.42,-0.7,-1.12,-1.08,,0,"S Ang, A Fernandez, M Rushforth…",2023,2023 IEEE Conference …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10108409/,,180,5/31/2023 16:53,,,,,,,,,0,0,0,4,1,,,,,,,Class Low,Class Low,Class Low,Class Low,Class Low
20,22,,Virtual reality metaverse system supplementing remote education methods: Based on aircraft maintenance simulation,"[""virtual reality"","" presence"","" metaverse"","" education"","" remote education"","" technical training""]",40,20,20,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Education and training""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,40,20,20,,,,,"""within-subject""","""each component""",Whole Study,"""Other""","[""After"",""After""]",No,[],"""""","""""",1,,,No,,06,25.4,17,16.44,4.95,64.4,5.08,4.25,4.11,4.95,4.6,-33,22.4,1.6,Yes,10.4,5,4.44,1.95,2.08,1.25,1.11,1.95,,76,"H Lee, D Woo, S Yu",2022,Applied Sciences,mdpi.com,https://www.mdpi.com/1528324,"https://scholar.google.com/scholar?cites=2729223971710391114&as_sdt=2005&sciodt=0,5&hl=en",3,5/31/2023 16:53,,,,,,,,,76,76,25,3,1,,,,,,,Class Exceptional,Class Exceptional,Class Very High,Class Exceptional,Class Very High
21,23,,"Exploring presence, avatar embodiment, and body perception with a holographic augmented reality mirror","[""Virtual reality"","" virtual human"","" virtual body ownership"","" agency"","" body image distortion"","" body weight perception""]",27,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Social Science and psychology""]","""""","[""German""]","""Not Sure""","""We employed an experimental design that combines the data col-\rlected in this evaluation (OST AR) with the data previously collected (VST AR and VR) [57]. """,,1,"""Study 1""",,27,,,,,,,"""within-subject""","""each component""",Whole Study,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,06,24.5,15.08,14.44,4.94,60.2,4.9,3.77,3.61,4.94,4.3,-33,18.2,1.3,Yes,9.5,3.08,2.44,1.94,1.9,0.77,0.61,1.94,,11,"E Wolf, ML Fiedler, N Döllinger…",2022,… IEEE Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9756775/,"https://scholar.google.com/scholar?cites=18351314097085640483&as_sdt=2005&sciodt=0,5&hl=en",75,5/31/2023 16:53,,,,,,,,,11,11,3,4,1,,,,,,,Class Exceptional,Class Very High,Class High,Class Very High,Class Very High
22,24,,Virtual Reality Observations: Using Virtual Reality to Augment Lab-Based Shoulder Surfing Research,"[""Virtual Reality"","" Shoulder Surfing"","" Authentication""]",18,5,13,18,61,32.44,12.22,"[""3D Graphics - Monoscopic"",""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,18,5,13,18,61,32.44,12.22,"""within-subject""","""each component""",Each Condition,"""Chart""","[""After""]",No,"[""ART by Wobbrock et al. [84]""]",""" ART-C [24] for post-hoc pairwise comparisons""","""""",1,,,No,,06,14.4,11.72,8.8,2.66,37.38,2.88,2.93,2.2,2.66,2.67,-33,-4.62,-0.33,Yes,-0.6,-0.28,-3.2,-0.34,-0.12,-0.07,-0.8,-0.34,,8,"F Mathis, J O'Hagan, M Khamis…",2022,2022 IEEE Conference …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9756826/,"https://scholar.google.com/scholar?cites=13786278827323831996&as_sdt=2005&sciodt=0,5&hl=en",55,5/31/2023 16:53,,,,,,,,,8,8,2,4,1,,,,,,,Class Low,Class Low,Class Low,Class Low,Class Low
23,25,,Stay Home! Conducting Remote Usability Evaluations of Novel Real-World Authentication Systems Using Virtual Reality,"[""Remote Research"","" Virtual Reality"","" Authentication"","" Usability""]",25,15,9,17,35,25.76,4.36,"[""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""IPQ from 0 to 5""",,1,"""Study 1""",,25,15,9,17,35,25.76,4.36,"""within-subject""","""each component""",Whole Study,"""Other""","[""Unknown""]",No,[],"""""","""""",1,,,No,,05,23.05,11.96,10.64,4.2,50.68,4.61,2.99,2.66,4.2,3.62,-33,18.76,1.34,Yes,12.65,2.36,0.76,2.04,2.53,0.59,0.19,2.04,,7,"F Mathis, J O'Hagan, K Vaniea, M Khamis",2022,Proceedings of the 2022 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3531073.3531087,"https://scholar.google.com/scholar?cites=14617071975466129982&as_sdt=2005&sciodt=0,5&hl=en",78,5/31/2023 16:53,,10.1145/3531073.3531087,,,,,,,7,7,2,4,1,,,,Yes,,,Class Exceptional,Class Exceptional,Class Moderate,Class High,Class Very High
24,26,,Can i borrow your atm? using virtual reality for (simulated) in situ authentication research,"[""Virtual Reality"","" Authentication"","" In Situ Research""]",20,13,7,,,35.45,9.46,"[""3D Graphics - HMD VR/MR"",""Other""]","[""Stereo sound""]","[""Design and visualization"",""Interaction techniques"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,20,13,7,,,35.45,9.46,"""within-subject""","""each component""",Each Condition,"""Other""","[""After""]",No,"[""ANOVA"",""aligned rank transformation""]","""""","""""",1,,,No,,06,18.4,12.44,10.76,3.86,46.76,3.68,3.11,2.69,3.86,3.34,-33,4.76,0.34,Yes,3.4,0.44,-1.24,0.86,0.68,0.11,-0.31,0.86,,6,"F Mathis, K Vaniea, M Khamis",2022,… on Virtual Reality and 3D User …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9756785/,"https://scholar.google.com/scholar?cites=11194692198056053258&as_sdt=2005&sciodt=0,5&hl=en",54,5/31/2023 16:53,,,,,,,,,6,6,2,3,1,,,,,,,Class Moderate,Class Low,Class Low,Class Moderate,Class Low
29,31,,Effects of Avatars on Street Crossing Tasks in Virtual Reality,"[""Virtual reality"","" Pedestrian simulator"","" Avatar"","" Street crossing""]",29,16,13,18,33,25.59,3.05,"[""3D Graphics - HMD VR/MR""]",[],"[""Design and visualization"",""Interaction techniques""]","""""","[""German""]","""Not Sure""","""""",,1,"""Study 1""",,29,16,13,18,33,25.59,3.05,"""within-subject""","""each component""",Each Condition,"""Chart""","[""After""]",No,"["" Shapiro Wilk\u2019s test""]","""""","""""",1,,,No,,06,23.85,13.96,13.08,4.56,56.28,4.77,3.49,3.27,4.56,4.02,-33,14.28,1.02,Yes,8.85,1.96,1.08,1.56,1.77,0.49,0.27,1.56,,2,"P Maruhn, S Hurst",2022,Proceedings of the 21st Congress of the International …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-74614-8_26,"https://scholar.google.com/scholar?cites=8920654632907911031&as_sdt=2005&sciodt=0,5&hl=en",257,5/31/2023 16:53,,10.1007/978-3-030-74614-8_26,,,,,,,2,2,1,2,1,,,,,,,Class High,Class Very High,Class Moderate,Class High,Class High
31,33,,"Influence of visual appearance of agents on presence, attractiveness, and agency in virtual reality","[""Agent-mediated interfaces"","" Visual appearance of avatars""]",34,13,21,19,52,29.41,8.59,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""from 1 to 6""",,1,"""Study 1""",,34,13,21,19,52,29.41,8.59,"""between-subject""","""each component""",Each Condition,"""Other""","[""Unknown""]",No,"[""Kruskal-Wallis test""]","""""","""""",1,,,No,,16,26.55,18.32,17.76,5.05,67.76,5.31,4.58,4.44,5.05,4.84,-33,22.54,1.61,Yes,10.85,5.2,4.52,1.86,2.17,1.3,1.13,1.86,,2,"M Butz, D Hepperle, M Wölfel",2022,… . New Perspectives from Media Arts and …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-95531-1_4,"https://scholar.google.com/scholar?cites=14081671569667524810&as_sdt=2005&sciodt=0,5&hl=en",204,5/31/2023 16:53,,10.1007/978-3-030-95531-1_4,,,,,,,2,2,1,3,1,,,,Yes,,,Class Exceptional,Class Exceptional,Class Exceptional,Class Exceptional,Class High
