paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,condition_name,element_name,is_interaction,participant_per_element,original_rating_scale,original_total_sp,original_total_inv,original_total_real,original_total_gp,original_total_overall,original_mean_sp,original_mean_inv,original_mean_real,original_mean_gp,original_mean_overall,standard_rating_scale,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,is_scale_recover,scale_note,report_type,ranking_class,sp_ranking_class,inv_ranking_class,real_ranking_class,gp_ranking_class
13,14,,GroundFlow: Liquid-based Haptics for Simulating Fluid on the Ground in Virtual Reality,"[""liquid-based haptic"","" floor-based haptic"","" multiple fluid feedback"","" virtual reality""]",18,,9,21,29,24.3,1.98,"[""3D Graphics - HMD VR/MR""]","[""No sound""]","[""Design and visualization""]","""""","[""Not Mentioned""]","""Not Sure""","""Three study but only one used the IPQ""",,1,"""Study 1""",,18,,9,21,29,24.3,1.98,"""within-subject""","""each component""","""/Mean/SD/""","""Other""","[""After""]",No,[],"""""","""""",1,,,No,,06,23.8,19.72,15.96,5.19,66.08,4.76,4.93,3.99,5.19,4.72,-33,24.08,1.72,Yes,8.8,7.72,3.96,2.19,1.76,1.93,0.99,2.19,3D Graphics - HMD VR/MR,0,"PH Han, TH Wang, CH Chou",2023,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10054238/,,172,5/31/2023 16:53,,,,,,,,,0,0,0,3,1,,,,,,,Class Exceptional,,,,
14,15,,I Can't See That! Considering the Readability of Small Objects in Virtual Environments,"[""Compass"","" Task analysis"","" Virtual environments"","" Usability"","" Geologic measurements"","" Training"",""  Particle measurements""]",46,28,15,18,57,26.37,8.99,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,46,28,15,18,57,26.37,8.99,"""between-subject""","""whole questionnaire""","""/Mean/SD/""","""Other""","[""After""]",No,"[""Kruskal-Wallis""]","""""","""""",1,,,No,,17,-99999,-99999,-99999,-99999,63.28,-99999,-99999,-99999,-99999,4.52,-33,7.28,0.52,No,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3D Graphics - HMD VR/MR,0,"J Young, N Pantidi, M Wood",2023,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10050833/,,166,5/31/2023 16:53,,,,,,,,,0,0,0,3,1,,,,,,,Class Moderate,,,,
15,16,,Impact of Synchronizing Visual Cues with Switch of Foot Contact State on the Presence of Virtual Flight while Seated,"[""flight experience"","" floating sensation"","" cross-modal effect"","" tactile sensation"","" virtualreality""]",18,11,6,,,26.8,4.7,"[""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Design and visualization"",""Interaction techniques""]","""1""","[""Not Mentioned""]","""Not Sure""","""Scale from 1 to 5""",,1,"""Study 1""",40-50,17,11,6,,,26.8,4.7,"""within-subject""","""each component""","""/Mean//""","""Chart""","[""After"",""After""]",No,"[""ANOVA"",""Aligned Rank Transform (ART)""]","""""","""Our experiments provide important insights into the design of\rvisuo-haptic cross-modal stimuli for displaying flight experiences\rwith high presence.""",1,,,Yes,,15,17.25,13.68,11.48,3.3,45.64,3.45,3.42,2.87,3.3,3.26,-33,5.46,0.39,Yes,3.4,2.52,-0.8,0.45,0.68,0.63,-0.2,0.45,3D Graphics - HMD VR/MR,0,"Y Ban, T Yoshida, Y Ujitoko",2023,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10115427/,,170,5/31/2023 16:53,,,,,,,,,0,0,0,3,1,,,,Yes,,,Class Low,,,,
16,17,,Using immersive virtual reality to remotely examine performance differences between dominant and non-dominant hands,"[""Meta Quest"","" Dominant hand"","" Non-dominant hand"","" Assessment"","" Stroke"","" Upper limb""]",,,6,18,54,35.6,10.8,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Interaction techniques""]","""1""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,37,,,,,,,"""within-subject""","""each component""","""/Mean/SD/""","""Other""","[""After""]",No,[],"""""","""""",1,,,No,,17,28.75,17.24,16.52,5.54,69.02,5.75,4.31,4.13,5.54,4.93,-33,13.02,0.93,Yes,8.75,1.24,0.52,1.54,1.75,0.31,0.13,1.54,3D Graphics - HMD VR/MR,0,"JO Evans, K Tsaneva-Atanasova, G Buckingham",2023,Virtual Reality,Springer,https://link.springer.com/article/10.1007/s10055-023-00794-z,,122,5/31/2023 16:53,HTML,10.1007/s10055-023-00794-z,,,,,,,0,0,0,3,1,,,,,,,Class High,,,,
17,18,,Utilising Event Cognition Principles to Explore the Effects of Location Change on Memory Within Immersive Virtual Environments,[],,,,,,,,"[""3D Graphics - HMD VR/MR""]",[],"[""Design and visualization"",""Healthcare and clinical therapies"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""There are two studies in their experiment 3. This is a thesis.""",,2,"""Study 1""",,15,3,,,,,,"""within-subject""","""each component""","""/Mean/SD/""","""Other""","[""After""]",No,[],"""""","""""",1,,,No,,17,24.4,19.2,15.88,5.13,65.66,4.88,4.8,3.97,5.13,4.69,-33,9.66,0.69,Yes,4.4,3.2,-0.12,1.13,0.88,0.8,-0.03,1.13,3D Graphics - HMD VR/MR,0,P Watson,2023,,pearl.plymouth.ac.uk,http://pearl.plymouth.ac.uk/handle/10026.1/20610,,255,5/31/2023 16:53,,,,,,,,,0,0,0,1,1,,,,,,,Class Moderate,,,,
17,19,,Utilising Event Cognition Principles to Explore the Effects of Location Change on Memory Within Immersive Virtual Environments,[],,,,,,,,"[""3D Graphics - HMD VR/MR""]",[],"[""Design and visualization"",""Healthcare and clinical therapies"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""There are two studies in their experiment 3. This is a thesis.""",,2,"""Study 2""",,44,9,,,,,,"""within-subject""","""each component""","""/Mean/SD/""","""Other""","[""After""]",No,[],"""""","""""",1,,,No,,17,26.65,18.44,15.72,5.52,67.9,5.33,4.61,3.93,5.52,4.85,-33,11.9,0.85,Yes,6.65,2.44,-0.28,1.52,1.33,0.61,-0.07,1.52,3D Graphics - HMD VR/MR,0,P Watson,2023,,pearl.plymouth.ac.uk,http://pearl.plymouth.ac.uk/handle/10026.1/20610,,255,5/31/2023 16:53,,,,,,,,,0,0,0,1,1,,,,,,,Class High,,,,
18,20,,VR Blowing: A Physically Plausible Interaction Method for Blowing Air in Virtual Reality.,"[""Human-computer interaction"","" blowing control"","" virtual reality"","" immersion""]",20,9,11,,,22.2,2.44,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""Three studies but only one used the IPQ""",,1,"""Study 1""",,20,9,11,,,22.2,2.44,"""within-subject""","""each component""","""/Mean//""","""Chart""","[""After""]",No,"[""Wilcoxon signed-rank test""]","""""","""""",1,,,No,,17,21,15.72,13.32,5.15,58.1,4.2,3.93,3.33,5.15,4.15,-33,2.1,0.15,Yes,1,-0.28,-2.68,1.15,0.2,-0.07,-0.67,1.15,3D Graphics - HMD VR/MR,0,"MY Seo, KE Kang, HY Kang",2023,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10023999/,,140,5/31/2023 16:53,,,,,,,,,0,0,0,3,1,,,,,,,Class Low,,,,
19,21,,"You Make Me Sick! The Effect of Stairs on Presence, Cybersickness, and Perception of Embodied Conversational Agents",[],39,14,25,,,23.95,10.10,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,39,14,25,,,23.95,10.10,"""within-subject""","""each component""","""/Mean/SD/""","""Other""","[""After""]",No,"[""Wilcoxon signed-rank test""]","""""","""""",1,,,No,,06,12.9,9.2,7.52,1.92,30.38,2.58,2.3,1.88,1.92,2.17,-33,-11.62,-0.83,Yes,-2.1,-2.8,-4.48,-1.08,-0.42,-0.7,-1.12,-1.08,3D Graphics - HMD VR/MR,0,"S Ang, A Fernandez, M Rushforth…",2023,2023 IEEE Conference …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10108409/,,180,5/31/2023 16:53,,,,,,,,,0,0,0,4,1,,,,,,,Class Low,,,,
20,22,,Virtual reality metaverse system supplementing remote education methods: Based on aircraft maintenance simulation,"[""virtual reality"","" presence"","" metaverse"","" education"","" remote education"","" technical training""]",40,20,20,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Education and training""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,40,20,20,,,,,"""within-subject""","""each component""","""/Mean/SD/""","""Other""","[""After"",""After""]",No,[],"""""","""""",1,,,No,,06,25.4,17,16.44,4.95,64.4,5.08,4.25,4.11,4.95,4.6,-33,22.4,1.6,Yes,10.4,5,4.44,1.95,2.08,1.25,1.11,1.95,3D Graphics - HMD VR/MR,76,"H Lee, D Woo, S Yu",2022,Applied Sciences,mdpi.com,https://www.mdpi.com/1528324,"https://scholar.google.com/scholar?cites=2729223971710391114&as_sdt=2005&sciodt=0,5&hl=en",3,5/31/2023 16:53,,,,,,,,,76,76,25,3,1,,,,,,,Class Exceptional,,,,
22,24,,Virtual Reality Observations: Using Virtual Reality to Augment Lab-Based Shoulder Surfing Research,"[""Virtual Reality"","" Shoulder Surfing"","" Authentication""]",18,5,13,18,61,32.44,12.22,"[""3D Graphics - Monoscopic"",""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,18,5,13,18,61,32.44,12.22,"""within-subject""","""each component""","""/Mean/SD/""","""Chart""","[""After""]",No,"[""ART by Wobbrock et al. [84]""]",""" ART-C [24] for post-hoc pairwise comparisons""","""""",1,,,No,,06,25.15,17.28,11.84,4.78,59.78,5.03,4.32,2.96,4.78,4.27,-33,17.78,1.27,Yes,10.15,5.28,-0.16,1.78,2.03,1.32,-0.04,1.78,3D Graphics - HMD VR/MR,8,"F Mathis, J O'Hagan, M Khamis…",2022,2022 IEEE Conference …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9756826/,"https://scholar.google.com/scholar?cites=13786278827323831996&as_sdt=2005&sciodt=0,5&hl=en",55,5/31/2023 16:53,,,,,,,,,8,8,2,4,1,,,,,,,Class Very High,,,,
23,25,,Stay Home! Conducting Remote Usability Evaluations of Novel Real-World Authentication Systems Using Virtual Reality,"[""Remote Research"","" Virtual Reality"","" Authentication"","" Usability""]",25,15,9,17,35,25.76,4.36,"[""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""IPQ from 0 to 5""",,1,"""Study 1""",,25,15,9,17,35,25.76,4.36,"""within-subject""","""each component""","""/Mean/SD/""","""Other""","[""Unknown""]",No,[],"""""","""""",1,,,No,,05,23.05,11.96,10.64,4.2,50.68,4.61,2.99,2.66,4.2,3.62,-33,18.76,1.34,Yes,12.65,2.36,0.76,2.04,2.53,0.59,0.19,2.04,3D Graphics - HMD VR/MR,7,"F Mathis, J O'Hagan, K Vaniea, M Khamis",2022,Proceedings of the 2022 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3531073.3531087,"https://scholar.google.com/scholar?cites=14617071975466129982&as_sdt=2005&sciodt=0,5&hl=en",78,5/31/2023 16:53,,10.1145/3531073.3531087,,,,,,,7,7,2,4,1,,,,Yes,,,Class Very High,,,,
24,26,,Can i borrow your atm? using virtual reality for (simulated) in situ authentication research,"[""Virtual Reality"","" Authentication"","" In Situ Research""]",20,13,7,,,35.45,9.46,"[""3D Graphics - HMD VR/MR"",""Other""]","[""Stereo sound""]","[""Design and visualization"",""Interaction techniques"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,20,13,7,,,35.45,9.46,"""within-subject""","""each component""","""/Mean/SD/""","""Other""","[""After""]",No,"[""ANOVA"",""aligned rank transformation""]","""""","""""",1,,,No,,06,20.65,14.92,10.96,4.17,51.66,4.13,3.73,2.74,4.17,3.69,-33,9.66,0.69,Yes,5.65,2.92,-1.04,1.17,1.13,0.73,-0.26,1.17,3D Graphics - HMD VR/MR,6,"F Mathis, K Vaniea, M Khamis",2022,… on Virtual Reality and 3D User …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9756785/,"https://scholar.google.com/scholar?cites=11194692198056053258&as_sdt=2005&sciodt=0,5&hl=en",54,5/31/2023 16:53,,,,,,,,,6,6,2,3,1,,,,,,,Class Moderate,,,,
25,27,,"Examining the neural correlates of goal priming with the NeuroShop, a novel virtual reality fMRI paradigm","[""Health goal priming"","" Self-control"","" Food choice"","" External cue"","" Virtual reality supermarket""]",56,,56,,,22.4,2.6,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Healthcare and clinical therapies"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""scale ranging from 1 to 5; higher is stronger presence""",,1,"""Study 1""",,56,,56,,,22.4,2.6,"""within-subject""","""whole questionnaire""","""/Mean/SD/""","""Other""","[""After""]",No,[],"""""","""""",1,,,No,,15,-99999,-99999,-99999,-99999,43.96,-99999,-99999,-99999,-99999,3.14,-33,2.94,0.21,No,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3D Graphics - HMD VR/MR,6,"LN van der Laan, EK Papies, A Ly, PAM Smeets",2022,Appetite,Elsevier,https://www.sciencedirect.com/science/article/pii/S0195666321008084,"https://scholar.google.com/scholar?cites=14518220829271304993&as_sdt=2005&sciodt=0,5&hl=en",47,5/31/2023 16:53,HTML,,,,,,,,6,6,2,4,1,,,,Yes,,,Class Low,,,,
26,28,,Novel immersive virtual reality experiences do not produce retroactive memory benefits for unrelated material,"[""Immersive virtual reality"","" novelty"","" behavioural tagging"","" memory"","" recollection"","" familiarity""]",82,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""After this, participants com- pleted the Igroup Presence Questionnaire (IPQ; Schubert et al., 2001) to assess involvement, presence, and realism of the iVR experience (http://www.igroup.org/pq/ipq/ items.php). In a computerised adaptation of this question- naire, participants gave their ratings on a slider scale using the original questions and anchors""",,1,"""Study 1""",,72,18,53,,,26.3,6.25,"""between-subject""","""whole questionnaire""","""TotalScore//SD/""","""Other""","[""After""]",No,"[""Bayesian t tests""]","""""","""""",1,,,No,,06,-99999,-99999,-99999,-99999,51.8,-99999,-99999,-99999,-99999,3.7,-33,9.8,0.7,No,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3D Graphics - HMD VR/MR,4,"JA Quent, RN Henson",2022,Quarterly Journal of Experimental …,journals.sagepub.com,https://journals.sagepub.com/doi/pdf/10.1177/17470218221082491,"https://scholar.google.com/scholar?cites=17298284057751720788&as_sdt=2005&sciodt=0,5&hl=en",63,5/31/2023 16:53,PDF,10.1177/17470218221082491,,,,,,,4,4,2,2,1,,,,,,,Class Moderate,,,,
