paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,likert_scale,rating_scale,file,class,class_num,class_sp,class_inv,class_real,class_gp
16,17,17,Can decision-making skills affect responses to psychological stress in healthy women?,Stress; Decision-making; Cortisol; TSST; Virtual reality,40,,,,,28,11.08,Other,Stereo sound,Social Science and psychology,Stress; Decision-making;,Not Mentioned,Not Sure,,90,1,Study 1,,38,,,,,29.52/25.36,12.03/7.75,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,1,-33,Whole Experiment,Whole Study,No,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Ana Santos-Ruiz; M. Carmen Garcia-Rios; José Carlos Fernandez-Sanchez; Miguel Perez-Garcia; Miguel Angel Muñoz-García; Maria Isabel Peralta-Ramirez,2012,Psychoneuroendocrinology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306453012001345,https://scholar.google.com/scholar?cites=15404127022972111759&as_sdt=2005&sciodt=0;5&hl=en,25,43628,,,,,,,,,27,3.86,9,3,7,YES,Stress,,-0.915,-0.06535714,TRUE,0.58,1.735,-3.205,-0.025,0.116,0.43375,-0.80125,-0.025,3D Graphics - Monoscopic,7-point,Fair,Each Study,Class VI,6,Class VI,Class V,Class VI,Class VI
17,18,18,Enhancing the visually induced self-motion illusion (vection) under natural viewing conditions in virtual reality,Vection; psychophysics; spatial presence; virtual reality; illusions; motion simulation.,22,,,,,,,Projection Display,Stereo sound,Social Science and psychology,Vection,Not Mentioned,Not Sure,,,1,Study 1,,22,,,,,,,between-subject,each component,/Mean/SD/,Chart,After,No,Correlaration tests,,,1,17,Whole Experiment,Whole Study,No,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Bernhard E. Riecke; Jörg Schulte-Pelkum; Marios N. Avraamides; and Heinrich H. Bülthoff,2004,Workshop Presence,http://citeseerx.ist.psu.edu/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.560.8189&rep=rep1&type=pdf,https://scholar.google.com/scholar?cites=9264505614785578962&as_sdt=2005&sciodt=0;5&hl=en,70,43628,PDF,,,,,,,,25,1.67,8,3,15,YES,Vection,,10.15,0.725,TRUE,1.875,4.46,1.92,1.16,0.375,1.115,0.48,1.16,Projection Display,7-point,Good,Each Study,Class IV,4,Class VI,Class IV,Class IV,Class V
21,22,22,Trier Social Stress Test in vivo and in virtual reality: Dissociation of response domains,Virtual reality; Skin conductance level; Salivary cortisol; Heart rate; Social stress; Trier Social Stress Test (TSST),45,45,0,,,23.76,2.52,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Stress,Not Mentioned,Yes,,,1,Study 1,9,45,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,,,,1,-33,Whole Experiment,Whole Study,No,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Youssef Shiban; Julia Diemer; Simone Brandl; Rebecca Zack; Andreas Mühlberger; Stefan Wüst,2016,International Journal of Psychophysiology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167876016307231,https://scholar.google.com/scholar?cites=14327464664590115311&as_sdt=2005&sciodt=0;5&hl=en,60,43628,,,,,,,,,18,6,4,5,3,YES,Stress,,-2.6,-0.1857143,TRUE,1.2,-1.12,-2.68,0.105,0.24000001,-0.28,-0.67,0.105,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
22,23,23,Powered wheelchair simulator development: implementing combined navigation-reaching tasks with a 3D hand motion controller,Virtual reality; Powered wheelchair; Training; Reaching; Navigation; Rehabilitation,12,8,4,36,60,50.1,9.1,3D Graphics - Monoscopic;Other,Unknown,Interaction techniques;Social Science and psychology,Virtual reality,Not Mentioned,Not Sure,,,1,Study 1,15,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,TTest,,,1,6,Whole Experiment,Whole Study,No,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Gordon Tao & Philippe S. Archambault,2016,Journal of NeuroEngineering and Rehabilitation,jneuroengrehab.biomedcentral.com,https://jneuroengrehab.biomedcentral.com/articles/10.1186/s12984-016-0112-2,https://scholar.google.com/scholar?cites=17314908123693819291&as_sdt=2005&sciodt=0;5&hl=en,203,43628,HTML,,,,,,,,17,5.67,9,2,3,YES,Interaction,,-1.38,-0.09857143,TRUE,-0.04,0.06,-1.4,0.09,-0.008,0.015,-0.35,0.09,3D Graphics - Monoscopic,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
26,27,27,Poster: Design and evaluation of 3D content with wind output,,12,11,3,21,31,,,3D Graphics - Monoscopic,Unknown,Interaction techniques,,Not Mentioned,Not Sure,,,1,Study 1,15,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,ANOVA;TTest,,,2,17,Whole Experiment,Whole Study,No,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Anke Lehmann; Christian Geiger; Bjorn Woldecke; Jorg Stocklein,2009,IEEE Symposium on 3D User Interfaces,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4811231/,https://scholar.google.com/scholar?cites=18289119672183896209&as_sdt=2005&sciodt=0;5&hl=en,16,43628,,,,,,,,,11,1.1,3,4,10,YES,,CORRECTED: Overall Presence to GP (Confused Presence),0.8500001,0.060714286,TRUE,1.3833333,1.7999998,-2.3333333,0.21999998,0.27666667,0.44999996,-0.5833333,0.21999998,3D Graphics - Monoscopic,7-point,Fair,Each Study,Class VI,6,Class VI,Class V,Class VI,Class VI
27,28,28,Representation of patients' hand modulates fear reactions of patients with spider phobia in virtual reality,virtual reality; presence; immersion; perception; fear; specific phobia,64,,,,,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,Phobia,Not Mentioned,Not Sure,,,1,Study 1,47,64,0/,32/,18/,30/,22.75/,2.72,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,6,Whole Experiment,Whole Study,No,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Henrik M. Peperkorn; Julia E. Diemer; Georg W. Alpers; and Andreas Mühlberger,2016,Frontiers in Psychology,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00268,https://scholar.google.com/scholar?cites=4840287585176633007&as_sdt=2005&sciodt=0;5&hl=en,87,43628,HTML,,,,,,,,10,3.33,3,4,3,YES,,,-2.6375,-0.18839286,TRUE,1.5625,-3.04,-1.16,0.5175,0.3125,-0.76,-0.29,0.5175,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class V,Class VI
35,36,36,Utilization of Second Life as a tool for spatial learning in interior architecture,Virtual environments; second life; navigation; spatial learning,90,45,45,,,,,3D Graphics - Monoscopic,Unknown,Education and training;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,90,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,17,Whole Experiment,Whole Study,No,90,,,,,,4.69,3.74,3.53,5.37,,0.85,1.1,0.76,1.13,,,,,,,6,İpek Memikoğlu,2014,Procedia - Social and Behavioral Sciences,Elsevier,https://www.sciencedirect.com/science/article/pii/S1877042814004017,https://scholar.google.com/scholar?cites=1343355019175368824&as_sdt=2005&sciodt=0;5&hl=en,157,43628,,,,,,,,,6,1.2,6,1,5,YES,Navigation,,0.53,0.03785714,TRUE,3.45,-1.04,-1.88,1.37,0.69,-0.26,-0.47,1.37,3D Graphics - Monoscopic,7-point,Fair,Each Study,Class VI,6,Class V,Class VI,Class VI,Class V
36,37,37,Deficits in episodic memory and mental time travel in patients with post-traumatic stress disorder,PTSD; Episodic memory; What-where-when task; Mental time travel; Virtual reality; Anxiety; Stressor-related disorders,42,8,34,,,,,3D Graphics - Monoscopic,Unknown,Healthcare and clinical therapies,Post-traumatic stress disorder,Not Mentioned,Not Sure,,,1,Study 1,13,42,4-Apr,17/17,18/18,55/53,34.6/34.2,11.9/11.8,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armin Zlomuzicaa; Marcella L. Wouda; Alla Machulskaa; Katharina Kleimta; Lisa Dietricha; Oliver T. Wolfb; Hans-Joerg Assionc; Joseph P. Hustond; Maria A. De Souza Silvad; Ekrem Deree; Jürgen Margraf,2018,Progress in Neuropsychopharmacology & Biological Psychiatry,,http://www.cog.psy.ruhr-uni-bochum.de/papers/2018/Zlomuzica_PTSDMentalTimeTravel_PNPBP(2018).pdf,,175,43628,PDF,,,,,,,,0,0,0,5,,YES,,,-10.85,-0.775,TRUE,-2.65,-2,-5.5,-0.7,-0.53,-0.5,-1.375,-0.7,3D Graphics - Monoscopic,7-point,Poor,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
40,41,41,Self-transforming controllers for virtual reality first person shooters,Virtual reality controller; shape-changing interfaces; authentic input device; first-person shooter,29,22,7,19,64,26.14,8.56,3D Graphics - HMD VR,Unknown,Interaction techniques,,Not Mentioned,Not Sure,,,1,Study 1,4,29,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Andrey  Krekhov; Katharina Emmerich; Philipp  Bergmann; Sebastian  Cmentowski; Jens Krüger,2017,CHI PLAY '17: Proceedings of the Annual Symposium on Computer-Human Interaction in Play,dl.acm.org,https://dl.acm.org/citation.cfm?id=3116615,https://scholar.google.com/scholar?cites=144676039135128325&as_sdt=2005&sciodt=0;5&hl=en,193,43628,,,,,,,,,4,2,1,4,2,YES,Controller,,7.54,0.5385714,TRUE,5.8,3.86,-2.12,1.395,1.16,0.965,-0.53,1.395,3D Graphics - HMD VR,7-point,Good,Each Study,Class V,5,Class V,Class IV,Class VI,Class V
41,42,42,GulliVR: A walking-oriented technique for navigation in virtual reality games based on virtual body resizing,Virtual reality games; navigation; physical walking; presence; virtual body size; miniature world,30,15,15,,,27.6,11.18,3D Graphics - HMD VR,Unknown,Interaction techniques,Navigation,Not Mentioned,Not Sure,,45,1,Study 1,,30,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,TTest; Levene’s and Kolmogorov-Smirnov tests;  MannWhitney U tests,,,2,6,Whole Experiment,Whole Study,No,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Andrey Krekhov; Sebastian Cmentowski; Katharina Emmerich; Maic Masuch; Jens Krüger,2018,CHI PLAY '18: Proceedings of the 2018 Annual Symposium on Computer-Human Interaction in Play,dl.acm.org,https://dl.acm.org/citation.cfm?id=3242704,https://scholar.google.com/scholar?cites=7527593946888583397&as_sdt=2005&sciodt=0;5&hl=en,259,43628,,,,,,,,,3,3,1,4,1,YES,Navigation,,0.945,0.0675,TRUE,2.625,0.9800001,-2.66,0.7,0.525,0.24500002,-0.665,0.7,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
42,43,43,Delay compensation for a telepresence system with 3d 360 degree vision based on deep head motion prediction and dynamic fov adaptation,3D vision; telepresence; virtual reality; remote reality; omnidirectional vision,13,9,4,,,25.38,5.18,3D Graphics - HMD VR,Unknown,Interaction techniques;Social Science and psychology,Telepresence,Not Mentioned,Not Sure,,,1,Study 1,0.75,13,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Tamay Aykut; Mojtaba Karimi; Christoph Burgmair; Andreas Finkenzeller; Christoph Bachhuber; Eckehard Steinbach,2018,IEEE Robotics and Automation Letters,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8429079/,https://scholar.google.com/scholar?cites=8422483897848827086&as_sdt=2005&sciodt=0;5&hl=en,309,43628,,,,,,,,,3,3,1,4,1,YES,Telepresence,,-1.4766667,-0.10547619,TRUE,-0.4066667,0.08833333,-1.1416667,-0.016666668,-0.08133333,0.022083333,-0.28541666,-0.016666668,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class V,Class VI
44,45,45,Effects of personal relevance and simulated darkness on the affective appraisal of a virtual environment,Affective appraisal; Virtual environment; Fear of darkness; Emotion; Personal relevance,72,0,72,12,32,22.2,2.9,3D Graphics - Monoscopic,Unknown,Healthcare and clinical therapies;Social Science and psychology,Fear of darkness,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Whole Experiment,Whole Study,No,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Alexander Toet​; Joske M. Houtkamp; Paul E. Vreugdenhil,2016,PeerJ,peerj.com,https://peerj.com/articles/1743/?utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_1&utm_medium=TrendMD,https://scholar.google.com/scholar?cites=2623486685510651979&as_sdt=2005&sciodt=0;5&hl=en,199,43628,HTML,,,,,,,,3,1,1,3,3,YES,Fear,Unknown Scale,4.225,0.3017857,TRUE,3.1916666,1.9333333,-0.8999999,0.90333337,0.6383333,0.48333332,-0.22499998,0.90333337,3D Graphics - Monoscopic,7-point,Fair,Each Study,Class V,5,Class V,Class V,Class V,Class V
